Price,Year,Mileage,City,State,Vin,Make,Model
14494,2015,34804,Chicago, IL,19XFB2F51FE011835,Honda,Civic
14999,2015,35075,Cambridge, MA,19XFB2F5XFE223746,Honda,Civic
8997,2010,58678,North Olmsted, OH,2HGFA1F58AH328233,Honda,Civic
14285,2014,35644,Sanford, FL,19XFB2F87EE072860,Honda,Civic
13990,2014,36373,Denville, NJ,19XFB2F59EE270345,Honda,Civic
18900,2017,5,Madison, TN,19XFC2F5XHE004527,Honda,Civic
14659,2014,31244,Germantown, MD,19XFB2F86EE249933,Honda,Civic
11994,2014,47194,Pelham, AL,19XFB2F56EE042240,Honda,Civic
11900,2013,55537,Burlington, NJ,19XFB2F83DE245272,Honda,Civic
16380,2014,12436,Colorado Springs, CO,19XFB2F53EE047766,Honda,Civic
15491,2015,24056,Salt Lake City, UT,19XFB2F86FE083124,Honda,Civic
8977,2012,66346,Hollywood, FL,19XFB2F57CE018705,Honda,Civic
16364,2015,16191,Princeton, NJ,19XFB2F7XFE230679,Honda,Civic
11995,2013,38638,Columbus, OH,2HGFB2F52DH576078,Honda,Civic
17000,2014,7280,Tucson, AZ,19XFB2F82EE080574,Honda,Civic
15295,2014,17355,Brooklyn, NY,2HGFB2F83EH546406,Honda,Civic
14370,2014,29224,Springfield, PA,19XFB2F52EE239423,Honda,Civic
15950,2015,25663,Citrus Heights, CA,19XFB2F73FE210628,Honda,Civic
9895,2013,63983,Gladstone, MO,19XFB2F56DE095406,Honda,Civic
12791,2014,47538,Chandler, AZ,2HGFB2F56EH503460,Honda,Civic
19295,2017,1963,El Paso, TX,19XFC2F5XHE012935,Honda,Civic
14210,2014,35652,Rochester, NY,19XFB2F87EE224118,Honda,Civic
13995,2014,28779,Bloomfield Hills, MI,19XFB2F54EE237205,Honda,Civic
9998,2013,62777,Land O Lakes, FL,19XFB2F55DE228043,Honda,Civic
13750,2015,14005,Woodside, NY,2HGFG3B56FH529393,Honda,Civic
17985,2017,2841,Roslyn, PA,19XFC2F54HE212323,Honda,Civic
7995,2010,61112,Baltimore, MD,2HGFA1F57AH576716,Honda,Civic
14730,2015,28308,Duarte, CA,2HGFB2F79FH552669,Honda,Civic
10995,2014,59402,Marietta, GA,19XFB2F54EE215382,Honda,Civic
10990,2014,59464,Ansonia, CT,2HGFB2F54EH522931,Honda,Civic
16613,2016,17264,Denison, TX,2HGFC2F56GH510120,Honda,Civic
15185,2014,18363,Webster, TX,19XFB2F50EE264367,Honda,Civic
11450,2013,55160,Belle Vernon, PA,19XFB2F84DE249332,Honda,Civic
12988,2015,44023,Yonkers, NY,19XFB2F51FE235039,Honda,Civic
11492,2013,54662,Surprise, AZ,2HGFB2F50DH575933,Honda,Civic
12998,2013,23387,Playa Vista, CA,19XFB2F56DE015361,Honda,Civic
11881,2013,54389,Layton, UT,19XFB2F55DE057617,Honda,Civic
19295,2017,2057,El Paso, TX,19XFC2F5XHE011851,Honda,Civic
14317,2014,29488,Fort Worth, TX,19XFB2F50EE027247,Honda,Civic
12950,2014,35924,El Cajon, CA,19XFB2F58EE251737,Honda,Civic
17857,2017,5737,Burlington, NJ,2HGFC2F57HH505512,Honda,Civic
11990,2014,63822,Sherman, TX,19XFB2F59EE078195,Honda,Civic
15445,2015,40398,Lees Summit, MO,2HGFB2F78FH507996,Honda,Civic
13441,2014,32552,Auburn, MA,2HGFB2F50EH521288,Honda,Civic
11250,2014,66670,BROCKTON, MA,2HGFB2F57EH509073,Honda,Civic
16408,2015,22424,Sterling, VA,2HGFB2F98FH513153,Honda,Civic
12289,2013,51510,Germantown, MD,19XFB2F54DE262099,Honda,Civic
14551,2014,18572,Roslyn, PA,19XFB2F59EE258633,Honda,Civic
15000,2014,25461,Jacksonville, FL,19XFB2F84EE009280,Honda,Civic
17900,2017,3057,El Cerrito, CA,2HGFC2F5XHH514009,Honda,Civic
16082,2014,2007,Staten Island, NY,2HGFB2F83EH556062,Honda,Civic
12250,2014,44464,Louisville, KY,2HGFB2F56EH557700,Honda,Civic
13488,2014,35910,Las Vegas, NV,19XFB2F51EE225402,Honda,Civic
10500,2015,74161,Marietta, GA,19XFB2F53FE050068,Honda,Civic
17000,2014,7611,Tucson, AZ,19XFB2F83EE081734,Honda,Civic
12995,2014,43279,Frankfort, KY,19XFB2F54EE025842,Honda,Civic
14200,2014,33802,Round Rock, TX,19XFB2F53EE078872,Honda,Civic
16977,2015,19317,Beaverton, OR,2HGFB2F75FH533875,Honda,Civic
15550,2014,34264,Wichita, KS,19XFB2F82EE058655,Honda,Civic
16495,2016,22986,Dothan, AL,19XFC2F51GE062220,Honda,Civic
14087,2015,40588,Dayton, OH,19XFB2F59FE009203,Honda,Civic
12985,2014,58014,Tucson, AZ,19XFB2F89EE037320,Honda,Civic
11995,2014,47625,Chicago, IL,19XFB2F55EE231400,Honda,Civic
17491,2016,8817,Orlando, FL,19XFC2F50GE024820,Honda,Civic
